Date,Time,Source IP,Destination IP,Source Port,Destination Port
Jan,29 00:04:42,72.197.8.56,216.58.112.55 LEN=51 TOS=0x00 PREC=0x00 TTL=115 ID=14954 PROTO=UDP,9258,40686
Jan,29 00:04:42,71.228.199.109,216.58.112.55 LEN=51 TOS=0x00 PREC=0x00 TTL=110 ID=8669 PROTO=UDP,37091,40686
Jan,29 00:04:42,99.248.20.48,216.58.112.55 LEN=51 TOS=0x00 PREC=0x00 TTL=119 ID=7432 PROTO=UDP,48725,40686
Jan,29 00:04:42,75.117.31.43,216.58.112.55 LEN=51 TOS=0x00 PREC=0x00 TTL=109 ID=15526 PROTO=UDP,3122,40686
Jan,29 00:04:42,58.160.93.74,216.58.112.55 LEN=51 TOS=0x00 PREC=0x00 TTL=106 ID=65441 PROTO=UDP,24824,40686
Jan,29 00:15:05,69.115.209.62,216.58.112.55 LEN=48 TOS=0x00 PREC=0x00 TTL=114 ID=18354 DF PROTO=TCP,52037,40686
Jan,29 00:15:05,71.228.199.109,216.58.112.55 LEN=48 TOS=0x00 PREC=0x00 TTL=110 ID=62943 DF PROTO=TCP,2528,40686
Jan,29 00:15:05,63.227.65.151,216.58.112.55 LEN=52 TOS=0x00 PREC=0x00 TTL=115 ID=15650 DF PROTO=TCP,63271,40686
Jan,29 00:15:06,76.87.248.152,216.58.112.55 LEN=48 TOS=0x00 PREC=0x00 TTL=108 ID=12616 DF PROTO=TCP,61943,40686
Jan,29 00:15:06,201.26.136.92,216.58.112.55 LEN=48 TOS=0x00 PREC=0x00 TTL=109 ID=21154 DF PROTO=TCP,61704,40686
Jan,29 00:15:25,70.189.221.153,216.58.112.55 LEN=48 TOS=0x00 PREC=0x00 TTL=113 ID=22004 DF PROTO=TCP,4933,40686
Jan,29 00:15:50,59.100.237.219,216.58.112.55 LEN=48 TOS=0x00 PREC=0x00 TTL=107 ID=44152 DF PROTO=TCP,3067,40686
Jan,29 00:24:02,66.214.36.72,216.58.112.55 LEN=113 TOS=0x00 PREC=0x00 TTL=45 ID=56393 PROTO=UDP,63656,40686
Jan,29 00:34:42,24.174.141.170,216.58.112.55 LEN=51 TOS=0x00 PREC=0x00 TTL=114 ID=56780 PROTO=UDP,41573,40686
Jan,29 00:34:42,99.251.241.22,216.58.112.55 LEN=51 TOS=0x00 PREC=0x00 TTL=119 ID=32484 PROTO=UDP,15658,40686
Jan,29 00:34:42,75.27.233.174,216.58.112.55 LEN=51 TOS=0x00 PREC=0x00 TTL=114 ID=18234 PROTO=UDP,9655,40686
Jan,29 00:34:43,91.139.26.208,216.58.112.55 LEN=51 TOS=0x00 PREC=0x00 TTL=108 ID=29097 PROTO=UDP,4174,40686
Jan,29 00:34:43,72.129.201.114,216.58.112.55 LEN=51 TOS=0x00 PREC=0x00 TTL=114 ID=28541 PROTO=UDP,36319,40686
Jan,29 00:36:52,79.186.174.12,216.58.112.55 LEN=60 TOS=0x00 PREC=0x00 TTL=115 ID=36633 PROTO=UDP,6348,40686
Jan,29 00:45:04,71.228.199.109,216.58.112.55 LEN=48 TOS=0x00 PREC=0x00 TTL=110 ID=52965 DF PROTO=TCP,2720,40686
